,Res
2013-07-09,106.00812557988972
2013-07-10,105.95826390470134
2013-07-11,105.98485437085223
2013-07-12,105.92011279791343
2013-07-15,106.01836827896804
2013-07-16,106.06116806753057
2013-07-17,106.11325184065053
2013-07-18,106.01978742690798
2013-07-19,105.98579958055615
2013-07-22,105.98280916806324
2013-07-23,106.0469692799176
2013-07-24,105.93535420253878
2013-07-25,105.93455152893728
2013-07-26,105.9282193955812
2013-07-29,105.92243250106199
2013-07-30,105.94052092667239
2013-07-31,105.90907045111173
2013-08-01,105.91629305814277
2013-08-02,105.90359141760251
2013-08-05,105.93551251169727
2013-08-06,105.9663677037663
2013-08-07,105.97024155999556
2013-08-08,105.98577417561427
2013-08-09,105.98181409925927
2013-08-12,105.9817689151642
2013-08-13,105.94375710412203
2013-08-14,105.94308139468657
2013-08-15,105.9634820842288
2013-08-16,105.93316226814699
2013-08-19,105.87015550006713
2013-08-20,105.86034351223132
2013-08-21,105.86483869988544
2013-08-22,105.92563390435481
2013-08-23,105.9199768748794
2013-08-26,105.919835128559
2013-08-27,105.94172843513208
2013-08-28,105.96402421237266
2013-08-29,105.9652423004887
2013-08-30,105.9513544397408
2013-09-02,105.93453549261186
2013-09-03,105.94415632574535
2013-09-04,105.94014245643369
2013-09-05,105.98091363740019
2013-09-06,105.99598133790673
2013-09-09,106.04216510922319
2013-09-10,106.0174699657292
2013-09-11,106.07008143842319
2013-09-12,106.1071434873795
2013-09-13,106.07505704360693
2013-09-16,106.12006960121249
2013-09-17,106.11272412736254
2013-09-18,106.2311580718036
2013-09-19,106.42264771873963
2013-09-20,106.33110697108526
2013-09-23,106.32151503841737
2013-09-24,106.34073366335255
2013-09-25,106.2387666683693
2013-09-26,106.17228966522069
2013-09-27,106.09280072977135
2013-09-30,106.12079232240117
2013-10-01,106.14893178924102
2013-10-02,106.17960985796157
2013-10-03,106.17764555736649
2013-10-04,106.18523908983359
2013-10-07,106.17658867776808
2013-10-08,106.17522052813646
2013-10-09,106.16646230237568
2013-10-10,106.23318269915255
2013-10-11,106.23787408895873
2013-10-14,106.21777357718575
2013-10-15,106.22417539038109
2013-10-16,106.22820059728484
2013-10-17,106.33389448238255
2013-10-18,106.32324094268517
2013-10-21,106.26081589482354
2013-10-22,106.33408478719684
2013-10-23,106.29228768971751
2013-10-24,106.27302393016824
2013-10-25,106.28871895848704
2013-10-28,106.28466936099845
2013-10-29,106.2760373243017
2013-10-30,106.28524054354041
