,Total_Excl_Signals
2008-08-04,180.6917066420721
2008-08-05,180.24090083040014
2008-08-06,180.04697228085016
2008-08-07,179.50897830334083
2008-08-08,177.78799577466717
2008-08-11,177.1166724039805
2008-08-12,177.28171943523802
2008-08-13,176.83821486903133
2008-08-14,176.35347296293762
2008-08-15,175.7974061977951
2008-08-18,176.29499531494326
2008-08-19,176.02154628231793
2008-08-20,176.1493795393806
2008-08-21,176.84217187593651
2008-08-22,176.55629412416025
2008-08-25,175.95935530701638
2008-08-26,175.20103729475971
2008-08-27,175.5279777740183
2008-08-28,175.36233656578943
2008-08-29,175.18705668734557
2008-09-01,174.45067015639464
2008-09-02,173.6759365128696
2008-09-03,172.77437809745877
2008-09-04,171.9594237581258
2008-09-05,171.21564244460293
2008-09-08,171.53982184440062
2008-09-09,171.2911184475029
2008-09-10,170.74908887255083
2008-09-11,169.87551704719297
2008-09-12,171.21545769764364
2008-09-15,170.31988274697167
2008-09-16,169.19991526071738
2008-09-17,168.6925909832744
2008-09-18,168.15550771793164
2008-09-19,171.134653733959
2008-09-22,172.07117682013833
2008-09-23,170.86582397946657
2008-09-24,169.94790617657037
2008-09-25,170.79934103011777
2008-09-26,170.15146035558823
2008-09-29,167.87704518835722
2008-09-30,167.4518958294419
2008-10-01,167.87885265400513
2008-10-02,165.68388842985675
2008-10-03,165.73127226142813
2008-10-06,161.558766669455
2008-10-07,160.22412176700288
2008-10-08,157.48862877128886
