,Return_Incl_Costs_ARSUSD Curncy
2008-05-05,157.794987293834
2008-05-06,157.73237657616858
2008-05-07,157.67400512584473
2008-05-08,157.5951681232818
2008-05-09,157.5951681232818
2008-05-12,157.5951681232818
2008-05-13,157.5951681232818
2008-05-14,157.5951681232818
2008-05-15,157.47465899127096
2008-05-16,158.03268936837668
2008-05-19,158.5162018805057
2008-05-20,158.83439085690065
2008-05-21,159.14478198860084
2008-05-22,159.1975212577452
2008-05-23,159.14685833778017
2008-05-26,159.05563739718698
2008-05-27,159.4673082277257
2008-05-28,160.44739118126392
2008-05-29,160.96786270877726
2008-05-30,161.60723983260294
2008-06-02,161.92902781424087
2008-06-03,163.13681706106607
2008-06-04,163.44453200938068
2008-06-05,163.6135468325442
2008-06-06,163.8591558698628
2008-06-09,163.7772262919279
2008-06-10,163.7772262919279
2008-06-11,163.7772262919279
2008-06-12,163.7772262919279
2008-06-13,163.7772262919279
2008-06-16,163.7772262919279
2008-06-17,163.7772262919279
2008-06-18,163.7772262919279
2008-06-19,163.7772262919279
2008-06-20,163.7772262919279
2008-06-23,164.2670902001771
2008-06-24,164.40751265585783
2008-06-25,164.46529349122082
2008-06-26,164.13158526239997
2008-06-27,164.22834198040263
2008-06-30,164.37614071293783
2008-07-01,164.4634266557196
2008-07-02,164.72396403944362
2008-07-03,164.18094257172393
2008-07-04,164.3268289361863
2008-07-07,165.10616445869937
2008-07-08,165.5384051758773
2008-07-09,165.58512159595773
2008-07-10,165.53968008792617
2008-07-11,165.27336006740848
2008-07-14,165.19340486890775
2008-07-15,165.4564920767295
2008-07-16,165.34616665191905
2008-07-17,165.2634935685931
2008-07-18,165.2634935685931
2008-07-21,165.2634935685931
2008-07-22,165.2634935685931
2008-07-23,165.2634935685931
2008-07-24,165.2634935685931
2008-07-25,165.2634935685931
2008-07-28,165.2634935685931
2008-07-29,165.2634935685931
2008-07-30,165.2634935685931
2008-07-31,165.2634935685931
2008-08-01,165.2634935685931
2008-08-04,165.2634935685931
2008-08-05,165.2634935685931
2008-08-06,165.2634935685931
2008-08-07,165.2634935685931
2008-08-08,165.2634935685931
2008-08-11,165.2634935685931
2008-08-12,165.2634935685931
2008-08-13,165.2634935685931
2008-08-14,165.2634935685931
2008-08-15,165.2634935685931
2008-08-18,165.20012401753596
2008-08-19,165.36152948899516
2008-08-20,165.54161071930943
2008-08-21,165.7182635494473
2008-08-22,165.86261724108235
2008-08-25,165.83920487672066
2008-08-26,165.81845403354788
2008-08-27,165.73684908724556
2008-08-28,165.92915527082053
2008-08-29,165.84890364037688
2008-09-01,165.77979431050662
2008-09-02,165.59795376957533
2008-09-03,165.51515479269054
2008-09-04,165.51515479269054
2008-09-05,165.51515479269054
2008-09-08,165.51515479269054
2008-09-09,165.51515479269054
2008-09-10,165.51515479269054
2008-09-11,165.51515479269054
2008-09-12,165.51515479269054
2008-09-15,165.51515479269054
2008-09-16,165.51515479269054
2008-09-17,165.51515479269054
2008-09-18,165.51515479269054
2008-09-19,165.51515479269054
2008-09-22,165.51515479269054
2008-09-23,165.51515479269054
2008-09-24,165.51515479269054
2008-09-25,165.51515479269054
2008-09-26,165.51515479269054
2008-09-29,165.51515479269054
2008-09-30,165.51515479269054
2008-10-01,165.51515479269054
2008-10-02,165.51515479269054
2008-10-03,165.51515479269054
2008-10-06,165.51515479269054
2008-10-07,165.51515479269054
2008-10-08,165.51515479269054
2008-10-09,165.51515479269054
2008-10-10,165.51515479269054
2008-10-13,165.51515479269054
2008-10-14,165.51515479269054
2008-10-15,165.51515479269054
2008-10-16,165.51515479269054
2008-10-17,165.51515479269054
2008-10-20,165.51515479269054
2008-10-21,165.51515479269054
2008-10-22,165.51515479269054
2008-10-23,165.51515479269054
2008-10-24,165.51515479269054
2008-10-27,165.51515479269054
2008-10-28,165.51515479269054
2008-10-29,165.51515479269054
2008-10-30,165.51515479269054
2008-10-31,165.51515479269054
2008-11-03,165.51515479269054
2008-11-04,165.51515479269054
2008-11-05,165.51515479269054
2008-11-06,165.51515479269054
2008-11-07,165.51515479269054
2008-11-10,165.51515479269054
2008-11-11,166.15776098542247
2008-11-12,166.60845355662815
2008-11-13,166.96235427999346
2008-11-14,167.75584393936973
2008-11-17,168.33628536327947
2008-11-18,168.73588351754915
2008-11-19,169.19099984779695
2008-11-20,169.76108967554816
2008-11-21,170.30569865121726
2008-11-24,170.22054580189166
2008-11-25,170.22054580189166
2008-11-26,170.22054580189166
2008-11-27,170.22054580189166
2008-11-28,170.22054580189166
2008-12-01,170.22054580189166
2008-12-02,170.22054580189166
2008-12-03,170.22054580189166
2008-12-04,170.22054580189166
2008-12-05,170.22054580189166
2008-12-08,170.22054580189166
2008-12-09,170.22054580189166
2008-12-10,170.22054580189166
2008-12-11,170.22054580189166
2008-12-12,170.22054580189166
2008-12-15,170.22054580189166
2008-12-16,170.22054580189166
2008-12-17,170.22054580189166
2008-12-18,170.22054580189166
2008-12-19,169.9160204083688
