,Return_Ex_Costs_ARSUSD Curncy
2008-10-08,187.371592482383
2008-10-09,187.371592482383
2008-10-10,187.371592482383
2008-10-13,187.371592482383
2008-10-14,187.371592482383
2008-10-15,187.371592482383
2008-10-16,187.371592482383
2008-10-17,187.371592482383
2008-10-20,187.371592482383
2008-10-21,187.371592482383
2008-10-22,187.371592482383
2008-10-23,187.371592482383
2008-10-24,187.371592482383
2008-10-27,187.371592482383
2008-10-28,187.371592482383
2008-10-29,187.371592482383
2008-10-30,187.371592482383
2008-10-31,187.371592482383
2008-11-03,187.371592482383
2008-11-04,187.371592482383
2008-11-05,187.371592482383
2008-11-06,187.371592482383
2008-11-07,187.371592482383
2008-11-10,187.371592482383
2008-11-11,188.193152025893
2008-11-12,188.703614221982
2008-11-13,189.10444829822
2008-11-14,190.003168401406
2008-11-17,190.660586390696
2008-11-18,191.113178167028
2008-11-19,191.62865078907
2008-11-20,192.27434438163
2008-11-21,192.891177920701
2008-11-24,192.891177920701
2008-11-25,192.891177920701
2008-11-26,192.891177920701
2008-11-27,192.891177920701
2008-11-28,192.891177920701
2008-12-01,192.891177920701
2008-12-02,192.891177920701
2008-12-03,192.891177920701
2008-12-04,192.891177920701
2008-12-05,192.891177920701
2008-12-08,192.891177920701
2008-12-09,192.891177920701
2008-12-10,192.891177920701
2008-12-11,192.891177920701
2008-12-12,192.891177920701
2008-12-15,192.891177920701
2008-12-16,192.891177920701
2008-12-17,192.891177920701
2008-12-18,192.891177920701
2008-12-19,192.642415862763
2008-12-22,192.537316078816
2008-12-23,192.538481695644
2008-12-24,192.864320166301
2008-12-25,192.864320166301
2008-12-26,192.864320166301
2008-12-29,192.864320166301
2008-12-30,192.864320166301
2008-12-31,192.864320166301
2009-01-01,192.864320166301
2009-01-02,192.864320166301
2009-01-05,192.864320166301
2009-01-06,192.864320166301
2009-01-07,192.864320166301
2009-01-08,192.864320166301
2009-01-09,192.864320166301
2009-01-12,192.864320166301
2009-01-13,192.864320166301
2009-01-14,192.864320166301
2009-01-15,192.864320166301
2009-01-16,192.864320166301
2009-01-19,192.864320166301
2009-01-20,192.864320166301
2009-01-21,192.864320166301
2009-01-22,192.864320166301
2009-01-23,192.864320166301
2009-01-26,192.864320166301
2009-01-27,192.864320166301
2009-01-28,192.864320166301
2009-01-29,192.864320166301
2009-01-30,192.864320166301
2009-02-02,192.864320166301
2009-02-03,192.864320166301
2009-02-04,192.864320166301
2009-02-05,192.864320166301
2009-02-06,192.864320166301
2009-02-09,192.864320166301
2009-02-10,192.864320166301
2009-02-11,192.864320166301
2009-02-12,192.864320166301
2009-02-13,192.864320166301
2009-02-16,192.864320166301
2009-02-17,192.864320166301
2009-02-18,192.864320166301
2009-02-19,192.864320166301
2009-02-20,192.864320166301
2009-02-23,192.864320166301
2009-02-24,192.864320166301
2009-02-25,192.864320166301
2009-02-26,192.864320166301
2009-02-27,192.864320166301
2009-03-02,192.864320166301
2009-03-03,192.864320166301
2009-03-04,192.864320166301
2009-03-05,192.864320166301
2009-03-06,192.864320166301
2009-03-09,192.864320166301
2009-03-10,192.864320166301
2009-03-11,192.864320166301
2009-03-12,192.864320166301
