,Weighted_Performance
2014-01-01,0.00164157894984117
2014-01-02,0.0017993962922269913
2014-01-03,0.007360409628487875
2014-01-06,0.0036385391693249756
2014-01-07,0.008517748976233622
2014-01-08,-0.005104343800141412
2014-01-09,0.003656236999440246
2014-01-10,0.012205116088840161
2014-01-13,-0.003565139446435034
2014-01-14,0.014444403994737006
2014-01-15,0.012303697806934726
2014-01-16,0.01605300585602463
2014-01-17,0.012868970520002139
2014-01-20,0.018216071517609393
2014-01-21,-0.003848238925082989
2014-01-22,-0.030866302485787235
2014-01-23,-0.019769896309822146
2014-01-24,7.518637465982582e-05
2014-01-27,0.005519364811506999
2014-01-28,-0.006343110213775341
2014-01-29,0.009718125822956123
2014-01-30,0.008359080232802027
2014-01-31,-0.00781139266668981
2014-02-03,0.00671544346817404
2014-02-04,-0.0017925077902791499
2014-02-05,-0.0037068511104503886
2014-02-06,0.03732580245593959
2014-02-07,-0.027324446803478786
2014-02-10,-0.02980674607518425
2014-02-11,0.04065429120903183
2014-02-12,-0.002231194094484754
2014-02-13,0.04991393449086149
2014-02-14,0.08390897381940593
2014-02-17,0.07588202556262286
2014-02-18,-0.03163063314873363
2014-02-19,-0.1082049445880801
2014-02-20,0.017052636531620147
2014-02-21,0.09323931012496386
2014-02-24,0.05470213149093589
2014-02-25,-0.011308584867462534
2014-02-26,-0.08871261258897321
2014-02-27,0.07766796619858583
2014-02-28,-0.029657849989726804
2014-03-03,-0.03807459943047424
2014-03-04,0.03392465939899185
2014-03-05,0.03902820936691277
2014-03-06,-0.003070546497743071
2014-03-07,-0.05819798177740047
2014-03-10,-0.031745934464053514
2014-03-11,-0.030844174953759
2014-03-12,0.0027651853583247838
2014-03-13,0.026605458971963255
2014-03-14,0.010954008129717493
2014-03-17,0.007560370109969096
2014-03-18,0.006489236772232115
2014-03-19,0.013106325481422147
2014-03-20,-0.03930849684533467
2014-03-21,0.011511543333718826
2014-03-24,0.009317278367986502
2014-03-25,0.038468731054073294
2014-03-26,0.09159767787010017
2014-03-27,0.0630875486502218
2014-03-28,-0.002409807730668247
2014-03-31,0.129475943112804
2014-04-01,-0.003189584043589006
2014-04-02,-0.041068105123163175
2014-04-03,-0.06887472352860427
2014-04-04,0.14964960802381044
2014-04-07,0.04523906990293789
2014-04-08,0.12608421137372694
2014-04-09,-0.048995581954210325
2014-04-10,0.07079681577225844
2014-04-11,-0.06917079978242102
2014-04-14,0.02332446848785779
2014-04-15,-0.10568186235143824
2014-04-16,0.0024089805274784292
2014-04-17,0.027226206137946254
2014-04-18,-0.007283525019997815
2014-04-21,-0.006094683560533189
2014-04-22,0.009374665532967421
2014-04-23,-0.025057541867373762
2014-04-24,-0.024705944352035637
2014-04-25,-0.015136024947068444
2014-04-28,-0.00042353790168109923
2014-04-29,-0.011360892388489852
2014-04-30,-5.629842161486778e-05
2014-05-01,0.013960343951715928
2014-05-02,0.005264405807371633
2014-05-05,-0.021520633040409846
2014-05-06,0.09840693132309555
2014-05-07,0.08810215159056267
2014-05-08,0.01878193932332621
2014-05-09,0.014887407408362007
2014-05-12,-0.009560886939033212
2014-05-13,0.05584372400128382
2014-05-14,0.019740307993156125
2014-05-15,-0.08168505800161474
2014-05-16,0.017190978197189878
2014-05-19,0.06057159150944362
2014-05-20,-0.06351263266291213
2014-05-21,0.024826604320753135
2014-05-22,0.0026062866986204026
2014-05-23,-0.0037092030176708395
2014-05-26,-0.015306085807824858
2014-05-27,-0.01819005938378471
2014-05-28,0.0127808591187365
2014-05-29,-0.0015646888997585464
2014-05-30,-0.014817744693329483
2014-06-02,-0.0046262624254872755
2014-06-03,0.002257121674851561
2014-06-04,-0.006797533062882997
2014-06-05,-0.002870138803262287
2014-06-06,-0.022628487599226012
2014-06-09,0.010188778051123214
2014-06-10,-0.00043773169119140946
2014-06-11,-0.042091321359226386
2014-06-12,0.017596275239465362
2014-06-13,0.01981899703780176
2014-06-16,-0.009148405880192443
2014-06-17,-0.06474757018303332
2014-06-18,0.10011756558902393
2014-06-19,-0.014375034118493066
2014-06-20,-0.011385435058895993
2014-06-23,0.034017843411543014
2014-06-24,0.044737146896725456
2014-06-25,0.025524625730998323
2014-06-26,0.05057913819745102
2014-06-27,-0.011539448594908
2014-06-30,-0.06019400060551974
2014-07-01,0.015384325751751455
2014-07-02,-0.037355511844061134
2014-07-03,0.04458322432640672
2014-07-04,-0.01128286730728676
2014-07-07,-0.034488926989485295
2014-07-08,0.013740554342969884
2014-07-09,0.020447441215638275
2014-07-10,-0.010991562037141958
2014-07-11,-0.0021578587894800823
2014-07-14,-0.009805280093793707
2014-07-15,-0.025260517425745147
2014-07-16,0.004041384082727705
2014-07-17,-0.011670319877072465
2014-07-18,0.03150598761242347
2014-07-21,0.01807756875239243
2014-07-22,0.0049064137535802035
2014-07-23,0.01037952514808168
2014-07-24,0.003087660836049079
2014-07-25,-0.01757674671404804
2014-07-28,0.0015174711244515123
2014-07-29,-0.018869722818494715
2014-07-30,-0.035332780332558475
2014-07-31,0.02450885058167088
2014-08-01,-0.03260672268592499
2014-08-04,0.011330151762195624
2014-08-05,0.014742470898476603
2014-08-06,0.04513277109882832
