,Inflation_Differential_ARSUSD Curncy
2002-07-16,16.992833333333333
2002-07-17,16.992833333333333
2002-07-18,16.992833333333333
2002-07-19,16.992833333333333
2002-07-22,16.992833333333333
2002-07-23,16.992833333333333
2002-07-24,16.992833333333333
2002-07-25,16.992833333333333
2002-07-26,16.992833333333333
2002-07-29,16.992833333333333
2002-07-30,16.992833333333333
2002-07-31,16.992833333333333
2002-08-01,16.992833333333333
2002-08-02,13.943666666666665
2002-08-05,13.943666666666665
2002-08-06,13.943666666666665
2002-08-07,13.943666666666665
2002-08-08,13.943666666666665
2002-08-09,13.943666666666665
2002-08-12,13.943666666666665
2002-08-13,13.943666666666665
2002-08-14,13.943666666666665
2002-08-15,13.943666666666665
2002-08-16,13.943666666666665
2002-08-19,13.943666666666665
2002-08-20,13.943666666666665
2002-08-21,13.943666666666665
2002-08-22,13.943666666666665
2002-08-23,13.943666666666665
2002-08-26,13.943666666666665
2002-08-27,13.943666666666665
2002-08-28,13.943666666666665
2002-08-29,13.943666666666665
2002-08-30,13.943666666666665
2002-09-02,13.943666666666665
2002-09-03,10.8945
2002-09-04,10.8945
2002-09-05,10.8945
2002-09-06,10.8945
2002-09-09,10.8945
2002-09-10,10.8945
2002-09-11,10.8945
2002-09-12,10.8945
2002-09-13,10.8945
2002-09-16,10.8945
2002-09-17,10.8945
2002-09-18,10.8945
2002-09-19,10.8945
2002-09-20,10.8945
2002-09-23,10.8945
2002-09-24,10.8945
2002-09-25,10.8945
2002-09-26,10.8945
2002-09-27,10.8945
2002-09-30,10.8945
2002-10-01,10.8945
2002-10-02,7.8453333333333335
2002-10-03,7.8453333333333335
2002-10-04,7.8453333333333335
2002-10-07,7.8453333333333335
2002-10-08,7.8453333333333335
2002-10-09,7.8453333333333335
2002-10-10,7.8453333333333335
2002-10-11,7.8453333333333335
2002-10-14,7.8453333333333335
2002-10-15,7.8453333333333335
2002-10-16,7.8453333333333335
2002-10-17,7.8453333333333335
2002-10-18,7.8453333333333335
2002-10-21,7.8453333333333335
2002-10-22,7.8453333333333335
2002-10-23,7.8453333333333335
2002-10-24,7.8453333333333335
2002-10-25,7.8453333333333335
2002-10-28,7.8453333333333335
2002-10-29,7.8453333333333335
2002-10-30,7.8453333333333335
2002-10-31,7.8453333333333335
2002-11-01,7.8453333333333335
2002-11-04,4.796166666666666
2002-11-05,4.796166666666666
2002-11-06,4.796166666666666
2002-11-07,4.796166666666666
2002-11-08,4.796166666666666
2002-11-11,4.796166666666666
2002-11-12,4.796166666666666
2002-11-13,4.796166666666666
2002-11-14,4.796166666666666
2002-11-15,4.796166666666666
2002-11-18,4.796166666666666
2002-11-19,4.796166666666666
2002-11-20,4.796166666666666
2002-11-21,4.796166666666666
2002-11-22,4.796166666666666
2002-11-25,4.796166666666666
2002-11-26,4.796166666666666
2002-11-27,4.796166666666666
2002-11-28,4.796166666666666
2002-11-29,4.796166666666666
2002-12-02,4.796166666666666
2002-12-03,1.7470000000000003
2002-12-04,1.7470000000000003
2002-12-05,1.7470000000000003
2002-12-06,1.7470000000000003
2002-12-09,1.7470000000000003
2002-12-10,1.7470000000000003
2002-12-11,1.7470000000000003
2002-12-12,1.7470000000000003
2002-12-13,1.7470000000000003
2002-12-16,1.7470000000000003
2002-12-17,1.7470000000000003
2002-12-18,1.7470000000000003
2002-12-19,1.7470000000000003
2002-12-20,1.7470000000000003
2002-12-23,1.7470000000000003
2002-12-24,1.7470000000000003
2002-12-25,1.7470000000000003
2002-12-26,1.7470000000000003
2002-12-27,1.7470000000000003
2002-12-30,1.7470000000000003
2002-12-31,1.7470000000000003
2003-01-01,1.7470000000000003
2003-01-02,1.8424166666666668
2003-01-03,1.8424166666666668
2003-01-06,1.8424166666666668
2003-01-07,1.8424166666666668
2003-01-08,1.8424166666666668
2003-01-09,1.8424166666666668
2003-01-10,1.8424166666666668
2003-01-13,1.8424166666666668
2003-01-14,1.8424166666666668
2003-01-15,1.8424166666666668
2003-01-16,1.8424166666666668
2003-01-17,1.8424166666666668
2003-01-20,1.8424166666666668
2003-01-21,1.8424166666666668
2003-01-22,1.8424166666666668
2003-01-23,1.8424166666666668
2003-01-24,1.8424166666666668
2003-01-27,1.8424166666666668
2003-01-28,1.8424166666666668
2003-01-29,1.8424166666666668
2003-01-30,1.8424166666666668
2003-01-31,1.8424166666666668
2003-02-03,1.8424166666666668
2003-02-04,1.9378333333333337
2003-02-05,1.9378333333333337
2003-02-06,1.9378333333333337
2003-02-07,1.9378333333333337
2003-02-10,1.9378333333333337
2003-02-11,1.9378333333333337
2003-02-12,1.9378333333333337
2003-02-13,1.9378333333333337
2003-02-14,1.9378333333333337
2003-02-17,1.9378333333333337
2003-02-18,1.9378333333333337
2003-02-19,1.9378333333333337
2003-02-20,1.9378333333333337
2003-02-21,1.9378333333333337
2003-02-24,1.9378333333333337
2003-02-25,1.9378333333333337
2003-02-26,1.9378333333333337
2003-02-27,1.9378333333333337
2003-02-28,1.9378333333333337
2003-03-03,1.9378333333333337
2003-03-04,2.03325
2003-03-05,2.03325
2003-03-06,2.03325
2003-03-07,2.03325
2003-03-10,2.03325
2003-03-11,2.03325
2003-03-12,2.03325
2003-03-13,2.03325
2003-03-14,2.03325
2003-03-17,2.03325
2003-03-18,2.03325
2003-03-19,2.03325
2003-03-20,2.03325
2003-03-21,2.03325
2003-03-24,2.03325
2003-03-25,2.03325
2003-03-26,2.03325
2003-03-27,2.03325
2003-03-28,2.03325
2003-03-31,2.03325
2003-04-01,2.03325
2003-04-02,2.1286666666666667
2003-04-03,2.1286666666666667
