,Spot_Incl_Costs_BRLUSD Curncy,Spot_Incl_Costs_ARSUSD Curncy,Spot_Incl_Costs_MXNUSD Curncy,Spot_Incl_Costs_COPUSD Curncy,Spot_Incl_Costs_CLPUSD Curncy,Spot_Incl_Costs_PENUSD Curncy,Spot_Incl_Costs_TRYUSD Curncy,Spot_Incl_Costs_RUBUSD Curncy,Spot_Incl_Costs_ZARUSD Curncy,Spot_Incl_Costs_CNYUSD Curncy,Spot_Incl_Costs_KRWUSD Curncy,Spot_Incl_Costs_IDRUSD Curncy,Spot_Incl_Costs_INRUSD Curncy,Spot_Incl_Costs_PHPUSD Curncy,Spot_Incl_Costs_THBUSD Curncy,Spot_Incl_Costs_CZKEUR Curncy,Spot_Incl_Costs_HUFEUR Curncy,Spot_Incl_Costs_PLNEUR Curncy
2019-04-11,115.03314787492802,59.95675004864296,116.4432718557898,115.50353894696339,68.42936361418056,97.35334017845966,215.4408185311574,100.46832173922066,157.45854497753044,82.39458137816284,137.2780681339788,254.10870283714524,132.82636125169756,79.22652158201745,110.96941432366236,83.6694238183141,74.03621902672275,88.63178467779538
2019-04-12,115.03314787492802,59.95675004864296,116.8817703376418,115.50353894696339,68.42936361418056,97.43457981361331,215.4408185311574,101.11818151761146,157.45854497753044,82.39458137816284,136.46798420944785,255.35258402840526,132.82636125169756,79.6628499078705,110.96941432366236,83.6694238183141,73.82217277833196,88.63178467779538
2019-04-15,115.03314787492802,60.942479668086754,116.24594753895646,115.50353894696339,68.42936361418056,97.36361554733286,215.4408185311574,101.11818151761146,157.45854497753044,82.39458137816284,136.4834725744699,256.0376200467803,132.82636125169756,79.679315127714,110.96941432366236,83.6694238183141,73.60936062105941,88.63178467779538
2019-04-16,115.03314787492802,60.18069867223566,115.78552413301189,115.50353894696339,68.42936361418056,97.42430444474012,215.4408185311574,101.37812542896778,157.45854497753044,82.39458137816284,136.41523083818268,256.00517097222576,132.82636125169756,79.53524445408327,110.96941432366236,83.6694238183141,73.49166097184121,88.63178467779538
2019-04-17,115.03314787492802,60.4346256708527,116.42134693169723,115.50353894696339,68.42936361418056,97.4374697611089,215.4408185311574,101.76804129600227,157.45854497753044,82.39458137816284,136.41523083818268,257.4293247999003,132.82636125169756,79.67931512771399,110.96941432366236,83.6694238183141,73.42122168017491,88.63178467779538
2019-04-18,115.03314787492802,60.68855266946972,116.70637094490101,115.50353894696339,68.42936361418056,97.45834160413256,215.4408185311574,101.57308336248504,157.45854497753044,82.39458137816284,136.41523083818268,256.58925431420874,132.82636125169756,79.6216868582617,110.96941432366236,83.6694238183141,73.38451106933482,88.63178467779538
2019-04-19,115.03314787492802,60.94247966808675,116.7721457171788,115.50353894696339,68.42936361418056,97.48788328964298,215.4408185311574,101.44311140680686,157.45854497753044,82.39458137816284,136.41523083818268,256.6974178960574,132.82636125169756,79.63403577314433,110.96941432366236,83.6694238183141,73.38451106933482,88.63178467779538
2019-04-22,115.03314787492802,60.18069867223565,116.33364723532684,115.50353894696339,68.42936361418056,97.15168606432337,215.4408185311574,101.83302727384135,157.45854497753044,82.39458137816284,136.41523083818268,255.38142765023164,132.82636125169756,79.18124222744777,110.96941432366236,83.6694238183141,73.38451106933482,88.63178467779538
2019-04-23,115.03314787492802,59.6728446750016,115.78552413301188,115.50353894696339,68.42936361418056,96.97989474097477,215.4408185311574,101.96299922951953,157.45854497753044,82.39458137816284,136.41523083818268,255.00646056648944,132.82636125169756,79.1030324331911,110.96941432366236,83.6694238183141,73.38451106933482,88.63178467779538
2019-04-24,115.03314787492802,58.40320968191646,114.90852716930794,115.50353894696339,68.42936361418056,96.93140479360429,215.4408185311574,100.85823760625514,157.45854497753044,82.39458137816284,138.0839279771937,254.45122084633277,132.82636125169756,78.77372803632086,110.96941432366236,83.6694238183141,73.38451106933482,88.63178467779538
