,Spot_Incl_Signals
2014-03-24,120.05433790488668
2014-03-25,120.25087740238968
2014-03-26,120.29475254249438
2014-03-27,120.38269693943836
2014-03-28,120.4009436749373
2014-03-31,120.7561894939456
2014-04-01,120.68840455398555
2014-04-02,120.57125732833084
2014-04-03,120.42111002449813
2014-04-04,120.72455682627108
2014-04-07,120.79707753388293
2014-04-08,120.78366037794885
2014-04-09,120.58436955315499
2014-04-10,120.83499818949866
2014-04-11,120.71372070056512
2014-04-14,120.66444596294237
2014-04-15,120.41938108246985
2014-04-16,120.42143844987896
2014-04-17,120.42184981973166
2014-04-18,120.44915233750928
2014-04-21,120.4670314242856
2014-04-22,120.40843794884977
2014-04-23,120.38189339328753
2014-04-24,120.34596327260465
2014-04-25,120.27730514397184
2014-04-28,120.25123150741162
2014-04-29,120.24855806962799
2014-04-30,120.22797208556736
2014-05-01,120.25131822651561
2014-05-02,120.23623067375878
2014-05-05,120.16102037078892
2014-05-06,120.32381398623563
2014-05-07,120.44081555524554
2014-05-08,120.56201902606551
2014-05-09,120.45826103316264
2014-05-12,120.51264363098451
2014-05-13,120.62494367282694
2014-05-14,120.63337274514673
2014-05-15,120.41642976450797
2014-05-16,120.47519879733237
2014-05-19,120.58257192643373
2014-05-20,120.42944566046
2014-05-21,120.46827029447984
2014-05-22,120.474891168665
2014-05-23,120.44788538104922
2014-05-26,120.4097988998614
2014-05-27,120.36944440365497
2014-05-28,120.37597497384756
2014-05-29,120.39752781044804
2014-05-30,120.35618572635691
2014-06-02,120.30691070359062
2014-06-03,120.32171724344343
2014-06-04,120.2567130538255
2014-06-05,120.20090376250748
2014-06-06,120.1616513457219
2014-06-09,120.20854621347185
2014-06-10,120.20434372045399
2014-06-11,120.11597765014227
2014-06-12,120.11918018840126
2014-06-13,120.15083070021952
2014-06-16,120.08098636491069
2014-06-17,119.96723000141603
2014-06-18,120.06077326863945
2014-06-19,120.12662266170229
2014-06-20,120.10918384863709
2014-06-23,120.19419503123022
2014-06-24,120.28072059708961
2014-06-25,120.33855501016068
2014-06-26,120.4043524534718
2014-06-27,120.37631196455996
2014-06-30,120.25928932143302
2014-07-01,120.25062411005862
2014-07-02,120.15696662903186
2014-07-03,120.17663884960334
2014-07-04,120.21393770507538
2014-07-07,120.19187950384377
2014-07-08,120.11956130055015
2014-07-09,120.15040951260482
2014-07-10,120.14514652136388
2014-07-11,120.12959263691991
2014-07-14,120.08411514215689
2014-07-15,120.01698089180898
2014-07-16,120.01447787883016
2014-07-17,119.9896154416726
2014-07-18,120.03518425953084
2014-07-21,120.0554665985877
2014-07-22,120.0413247664809
2014-07-23,120.06486909013174
2014-07-24,120.07112386325353
2014-07-25,120.0443837231965
2014-07-28,119.9875318595201
2014-07-29,119.93840895398091
2014-07-30,119.79949761047017
2014-07-31,119.89152634126526
2014-08-01,119.74643663437126
2014-08-04,119.74032631600873
2014-08-05,119.8090124841766
2014-08-06,119.86113391786114
2014-08-07,119.8896178178669
2014-08-08,119.83648313974263
2014-08-11,119.85148937913274
2014-08-12,119.85291057076493
2014-08-13,119.83059776793004
2014-08-14,119.7876289957939
2014-08-15,119.82409457647104
2014-08-18,119.75148940448022
2014-08-19,119.71941988235015
2014-08-20,119.67689399185757
2014-08-21,119.60835686827387
2014-08-22,119.55295469274391
2014-08-25,119.51952865197633
2014-08-26,119.54686425033236
2014-08-27,119.53458891665106
2014-08-28,119.52134018324733
2014-08-29,119.52990862498406
2014-09-01,119.51737546985437
2014-09-02,119.47285260845706
2014-09-03,119.54148417395864
2014-09-04,119.46853523553241
2014-09-05,119.50308851713058
2014-09-08,119.42424912773787
2014-09-09,119.27652527127056
2014-09-10,119.19894646446132
2014-09-11,119.1814574184545
2014-09-12,119.20634070923492
2014-09-15,119.23066499520363
2014-09-16,119.20360561853211
2014-09-17,119.21290429195953
2014-09-18,119.2498210067207
2014-09-19,119.23825490895342
2014-09-22,119.26162173571268
2014-09-23,119.24656814600131
