,Carry_BRLUSD Curncy,Carry_ARSUSD Curncy,Carry_MXNUSD Curncy,Carry_COPUSD Curncy,Carry_CLPUSD Curncy,Carry_PENUSD Curncy,Carry_TRYUSD Curncy,Carry_RUBUSD Curncy,Carry_ZARUSD Curncy,Carry_CNYUSD Curncy,Carry_KRWUSD Curncy,Carry_IDRUSD Curncy,Carry_INRUSD Curncy,Carry_PHPUSD Curncy,Carry_THBUSD Curncy,Carry_CZKEUR Curncy,Carry_HUFEUR Curncy,Carry_PLNEUR Curncy
2014-09-04,10.226525,51.91640000000001,2.2750500000000002,4.0919675,2.9213999999999998,4.2153,7.920650000000001,8.603900000000001,6.101525,0.8241,1.7064,6.123900000000001,5.758900000000001,0.5839,1.5519999999999998,-0.27649999999999997,1.1624250000000003,2.183675
2014-09-05,10.177925,46.484025,2.2632000000000003,4.1076654999999995,2.8415250000000003,4.39195,7.9182749999999995,8.464025,6.097924999999999,0.7931499999999999,1.7190250000000005,6.129025,5.759024999999999,0.606525,1.5799000000000003,-0.280525,1.0983749999999999,2.168625
2014-09-08,10.063475,46.34685,2.2624999999999997,4.13446525,2.8343499999999997,4.477275,7.9001,8.10685,6.087675,0.7426499999999998,1.72935,6.04685,5.77435,0.69435,1.60905,-0.27235,0.97275,2.1553000000000004
2014-09-09,10.079675,46.261725000000006,2.25425,4.1579007500000005,2.8642250000000002,4.490150000000001,7.835224999999999,7.831725000000002,6.06025,0.507675,1.7167249999999998,5.891725,5.806725,0.574225,1.6209999999999998,-0.26244999999999996,0.8427749999999999,2.144025
2014-09-10,10.132475000000001,46.361599999999996,2.253525,4.2152745,2.8066,4.6430750000000005,7.855600000000002,7.776600000000002,6.036850000000001,0.6908,1.6966,5.7216000000000005,5.8391,0.33909999999999996,1.63435,-0.24935000000000002,0.7328749999999999,2.13215
2014-09-11,10.250525,49.691225,2.2708749999999998,4.2265655,2.858725,4.7259,7.883975000000001,7.6187249999999995,6.02585,0.7586249999999999,1.7212249999999998,6.018725,5.9712250000000004,0.348725,1.679125,-0.231475,0.708375,2.1313
2014-09-12,10.286724999999999,48.590774999999994,2.2813,4.27477825,2.828275,4.9108,7.929775,7.805774999999998,6.015725,1.0220500000000001,1.730775,6.3557749999999995,6.078275,0.36577499999999996,1.74885,-0.223175,0.7462249999999999,2.133125
2014-09-15,10.280524999999999,46.895525,2.2984999999999998,4.336878250000001,3.005525,4.802625,8.019775,7.890524999999999,6.021450000000001,1.3787,1.7055250000000002,6.6880250000000006,6.238025,0.403025,1.8355,-0.21465,0.80645,2.1288
2014-09-16,10.297875000000001,45.173024999999996,2.315575,4.36218775,3.175524999999999,4.776725,8.043025,7.850525,6.022325,1.5716749999999997,1.693025,7.175525,6.340525000000001,0.6680250000000001,1.9041,-0.20795000000000002,0.8655999999999999,2.1178250000000003
2014-09-17,10.2479,44.758075,2.3287,4.42720725,3.1530750000000003,4.390475,8.045575,7.7955749999999995,6.0155,1.7524000000000002,1.6855749999999998,7.3355749999999995,6.318075,0.643075,1.9442499999999998,-0.20687500000000003,0.867475,2.10085
