Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Kyrgyz Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.352,-0.486,4.807,5.523,5.164,5.108,4.999,4.999
Lao P.D.R.,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.939,3.182,2.3,2.6,2.9,3.1,3.1,3.1
Latvia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.404,2.105,2.994,3.009,2.511,2.399,2.33,2.304
Lebanon,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-3.402,3.142,3,2,2,2,2,2
Lesotho,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.481,4.44,6.5,6,5,5,5,5
Liberia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.039,12.518,12.441,9.1,8.3,7.5,7.3,7
Libya,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.718,29.897,35.093,29.897,24.702,24.702,24.702,22.537
Lithuania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.249,1.96,3.338,2.026,2.147,2.458,2.509,2.535
Luxembourg,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.828,1.572,-1.253,3.725,0.773,2.939,1.207,2.734
Macao SAR,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.731,1.444,1.5,2.2,2.4,2.6,2.8,3
FYR Macedonia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.318,-0.292,1.7,1.7,2,2,2,2
Madagascar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.563,6.952,7.67,6.762,6.029,5.37,5.356,5
Malawi,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,24.855,19.969,11.14,8.328,8.012,7.857,3.998,2.221
Malaysia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.683,1.829,3.818,2.896,3,3,3,3
Maldives,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.156,1.821,2.143,2.218,2.218,2.422,2.422,2.625
Mali,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.971,-0.787,1,1.4,1.7,2,2.2,2.2
Malta,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.253,0.963,1.477,1.685,1.8,1.8,1.8,1.8
Marshall Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.236,-1.508,0.7,1.1,1.5,2.112,2.112,2.112
Mauritania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.83,2.77,1.592,4.749,4.963,3.968,3.968,3.968
Mauritius,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.327,2.339,5,4,3.5,3.25,3.125,3.063
Mexico,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.131,3.36,6.053,3.475,3,3,3,3
Micronesia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.158,0.475,0.915,2,2,2,5.072,2.045
