Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Peru,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.235,1.365,2.446,1.960,1.987,1.987,1.987,1.987
Philippines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.233,2.912,5.200,3.700,3.200,3.000,3.000,3.000
Poland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.800,2.100,2.323,2.886,2.500,2.500,2.500,2.500
Portugal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.881,1.618,4.690,-2.549,5.599,-1.131,4.929,-0.144
Puerto Rico,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.453,1.161,2.714,1.226,1.129,1.047,1.067,1.176
Qatar,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,,,,,,
Romania,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.534,3.320,3.469,2.785,2.672,2.549,2.549,2.549
Russia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.367,2.523,3.587,5.743,4.800,4.800,4.800,4.600
Rwanda,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.284,0.665,5.000,6.000,5.500,5.000,5.000,5.000
Samoa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.251,1.022,3.000,2.900,2.800,2.800,3.000,3.000
San Marino,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.833,1.000,1.502,1.613,1.671,1.732,1.786,1.812
São Tomé and Príncipe,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.123,7.690,6.000,5.000,4.000,3.000,3.000,3.000
Saudi Arabia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.152,-1.104,2.600,2.018,2.252,2.173,2.147,2.054
Senegal,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.060,-0.655,0.817,1.699,1.500,1.500,1.500,1.500
Serbia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.532,3.017,2.441,2.508,3.000,3.000,3.000,3.000
Seychelles,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.215,3.480,5.247,3.829,3.344,3.139,3.139,3.139
Sierra Leone,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,17.412,15.325,15.047,13.000,11.500,10.200,9.000,8.500
Singapore,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.163,0.375,2.007,1.261,1.445,1.345,1.303,1.306
Slovak Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.241,2.000,2.799,2.000,2.000,2.000,2.000,2.000
Slovenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.511,1.745,2.059,2.029,2.029,2.029,2.029,2.029
Solomon Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.233,2.121,3.403,3.262,3.378,3.729,4.033,4.377
Somalia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.031,5.341,2.759,2.546,2.528,2.500,2.200,2.000
South Africa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.724,4.717,5.300,5.300,5.450,5.500,5.500,5.500
South Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,479.735,117.670,99.357,92.716,71.199,65.000,48.000,30.000
Spain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.570,1.112,2.170,1.707,1.672,1.901,1.953,1.937
Sri Lanka,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.463,7.149,4.700,4.800,4.900,4.900,4.900,4.900
St. Kitts and Nevis,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.028,0.756,1.967,1.967,1.967,1.967,1.967,1.967
St. Lucia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-3.009,2.164,2.014,1.501,0.810,1.172,1.503,1.519
St. Vincent and the Grenadines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.951,3.016,2.031,1.998,1.998,1.998,1.998,1.998
Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,30.474,25.151,64.330,56.840,58.670,59.000,60.800,61.300
