Country,Subject Descriptor,Subject Notes,Units,2016,2017,2018,2019,2020,2021,2022,2023
Singapore,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.163,0.375,1.845,0.392,0.971,1.041,1.083,0.990
Slovak Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.210,1.960,1.885,2.000,2.000,2.000,2.000,2.000
Slovenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.511,1.745,1.654,2.015,2.015,2.015,2.015,2.015
Solomon Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.522,-2.233,1.934,5.032,3.298,3.962,4.206,4.231
Somalia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.278,5.237,2.800,2.605,2.595,2.500,2.200,2.000
South Africa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,6.724,4.717,5.633,5.273,5.538,5.500,5.500,5.500
South Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,479.735,117.670,96.438,125.101,79.586,65.000,48.000,30.000
Spain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,1.570,1.112,1.614,1.586,1.799,1.860,1.880,1.838
Sri Lanka,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.463,7.149,4.700,4.800,4.900,4.900,4.900,4.900
St. Kitts and Nevis,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.028,0.162,1.967,1.967,1.967,1.967,1.967,1.967
St. Lucia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-3.009,2.164,1.385,1.538,1.465,1.486,1.523,1.523
St. Vincent and the Grenadines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.951,2.219,1.498,1.498,1.498,1.498,1.498,1.498
Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,30.474,25.151,42.000,37.000,32.000,27.000,25.000,20.000
Suriname,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,52.400,9.296,11.240,7.752,6.444,4.675,4.246,3.979
Swaziland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,8.952,4.676,6.000,4.900,6.000,5.100,5.800,5.300
