Country,Subject Descriptor,Subject Notes,Units,2011,2012,2013,2014,2015,2016,2017,2018
Spain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.356,2.998,1.258,1.010,1.204,1.208,1.256,1.212
Sri Lanka,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.891,9.197,7.434,6.310,6.184,5.500,5.500,5.500
St. Kitts and Nevis,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.876,0.340,3.429,2.500,2.500,2.500,2.500,2.500
St. Lucia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.784,5.867,1.695,2.162,2.537,2.760,2.976,3.293
St. Vincent and the Grenadines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.738,1.037,2.508,2.644,2.644,2.644,2.644,2.644
Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,18.884,44.436,19.800,30.200,22.300,18.400,12.500,8.900
Suriname,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,15.296,4.371,2.983,4.045,4.019,4.019,4.019,4.019
Swaziland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,7.763,8.265,9.540,1.700,7.815,2.646,4.500,4.500
Sweden,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.288,-0.054,0.900,1.900,2.400,2.400,2.100,2.000
Switzerland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.715,-0.426,0.500,1.000,1.000,1.000,1.000,1.000
Syria,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,,,,,,,
Taiwan Province of China,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,2.031,1.604,1.400,2.000,2.000,2.000,2.000,2.000
Tajikistan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,9.315,6.444,7.000,6.953,6.953,6.953,6.953,6.000
