,PENUSDCR Curncy
2008-05-28,151.7785
2008-06-04,154.3978
2008-06-11,149.611
2008-06-18,150.2795
2008-06-25,146.6621
2008-07-02,147.4209
2008-07-09,154.8866
2008-07-16,153.7024
2008-07-23,153.3895
2008-07-30,153.5878
2008-08-06,155.5795
2008-08-13,148.517
2008-08-20,148.9504
2008-08-27,147.1013
2008-09-03,146.6355
2008-09-10,146.3761
2008-09-17,145.9481
2008-09-24,146.9907
2008-10-01,146.5676
2008-10-08,139.8075
2008-10-15,145.3126
2008-10-22,140.948
2008-10-29,141.3794
2008-11-05,142.2091
2008-11-12,140.9508
2008-11-19,141.1994
2008-11-26,141.9268
2008-12-03,140.9564
2008-12-10,140.9614
2008-12-17,142.5251
2008-12-24,140.3826
2008-12-31,140.5615
2009-01-07,140.3517
2009-01-14,140.1399
2009-01-21,140.2111
2009-01-28,139.8562
2009-02-04,136.8223
2009-02-11,137.0576
2009-02-18,136.8053
2009-02-25,136.9323
2009-03-04,136.7786
2009-03-11,139.7259
2009-03-18,142.1688
2009-03-25,142.4136
2009-04-01,141.9548
2009-04-08,143.6725
2009-04-15,144.9549
2009-04-22,145.0611
2009-04-29,148.724
2009-05-06,151.0391
2009-05-13,147.3612
2009-05-20,150.1707
2009-05-27,149.0487
2009-06-03,150.6191
2009-06-10,150.5011
2009-06-17,149.7521
2009-06-24,148.4706
2009-07-01,148.8152
2009-07-08,148.2994
2009-07-15,149.1039
2009-07-22,149.4193
2009-07-29,150.4724
2009-08-05,152.4509
2009-08-12,153.5147
2009-08-19,151.7542
2009-08-26,152.084
2009-09-02,152.4629
2009-09-09,153.6734
2009-09-16,155.2501
2009-09-23,156.635
2009-09-30,156.1222
2009-10-07,156.9563
2009-10-14,157.4928
2009-10-21,157.5666
2009-10-28,154.665
2009-11-04,155.1053
2009-11-11,156.6265
2009-11-18,157.0921
2009-11-25,156.0902
2009-12-02,156.259
2009-12-09,156.4299
2009-12-16,156.5478
2009-12-23,156.0735
2009-12-30,155.9054
2010-01-06,157.013
2010-01-13,158.2899
2010-01-20,157.7039
2010-01-27,157.3067
2010-02-03,157.8824
2010-02-10,157.6541
2010-02-17,158.0887
2010-02-24,158.2752
2010-03-03,158.3409
2010-03-10,158.6296
2010-03-17,158.6996
2010-03-24,158.7718
2010-03-31,158.478
2010-04-07,158.7443
2010-04-14,158.8722
2010-04-21,158.4132
2010-04-28,158.2357
2010-05-05,158.1453
2010-05-12,158.7836
2010-05-19,158.422
2010-05-26,158.1839
2010-06-02,158.5035
2010-06-09,158.4929
2010-06-16,159.0667
2010-06-23,159.6993
2010-06-30,159.7958
2010-07-07,159.8929
2010-07-14,160.1127
2010-07-21,159.8955
2010-07-28,160.0445
2010-08-04,161.1886
2010-08-11,161.0115
2010-08-18,161.4679
2010-08-25,161.3907
2010-09-01,161.4713
2010-09-08,161.5191
2010-09-15,161.9074
2010-09-22,161.7933
2010-09-29,161.9576
2010-10-06,161.8009
2010-10-13,161.9515
2010-10-20,161.6858
2010-10-27,161.1966
2010-11-03,161.5779
2010-11-10,161.2937
2010-11-17,160.6416
2010-11-24,160.7412
2010-12-01,159.7458
2010-12-08,160.3363
2010-12-15,160.3399
2010-12-22,161.201
2010-12-29,161.0122
2011-01-05,161.2843
2011-01-12,162.1772
2011-01-19,163.1363
2011-01-26,163.1351
2011-02-02,163.4881
2011-02-09,163.3679
2011-02-16,163.4095
2011-02-23,162.6778
2011-03-02,163.1768
2011-03-09,163.2622
2011-03-16,163.2672
2011-03-23,162.8728
2011-03-30,161.1355
2011-04-06,161.2052
2011-04-13,160.5146
2011-04-20,160.6715
2011-04-27,159.9333
2011-05-04,161.0642
2011-05-11,162.4736
2011-05-18,165.1446
2011-05-25,165.3333
2011-06-01,163.4029
2011-06-08,163.9201
2011-06-15,164.5879
2011-06-22,165.1714
2011-06-29,165.4068
2011-07-06,165.9739
2011-07-13,166.3051
2011-07-20,166.6359
2011-07-27,166.6725
2011-08-03,166.5184
2011-08-10,166.0643
2011-08-17,166.9571
2011-08-24,167.3078
2011-08-31,167.7047
2011-09-07,167.8087
2011-09-14,167.611
2011-09-21,165.8953
2011-09-28,165.2619
2011-10-05,165.8394
2011-10-12,168.1791
2011-10-19,168.5804
2011-10-26,168.7785
2011-11-02,169.4009
2011-11-09,169.748
2011-11-16,170.1928
2011-11-23,169.9489
2011-11-30,170.5558
2011-12-07,170.9005
2011-12-14,170.9873
2011-12-21,171.1391
2011-12-28,171.0984
2012-01-04,171.1797
2012-01-11,171.438
2012-01-18,171.6013
2012-01-25,171.7066
2012-02-01,171.9911
2012-02-08,172.0081
2012-02-15,172.3156
2012-02-22,172.6168
2012-02-29,172.8386
2012-03-07,173.1205
2012-03-14,173.3993
2012-03-21,173.3557
2012-03-28,173.5143
2012-04-04,173.6757
2012-04-11,173.9719
2012-04-18,174.5301
2012-04-25,174.9689
2012-05-02,175.8471
2012-05-09,175.0526
2012-05-16,173.399
2012-05-23,171.9107
2012-05-30,171.38
2012-06-06,172.723
2012-06-13,173.2813
2012-06-20,175.3694
2012-06-27,174.2603
2012-07-04,175.1329
2012-07-11,176.3468
2012-07-18,177.3643
2012-07-25,176.3838
2012-08-01,177.2856
2012-08-08,177.9967
2012-08-15,178.1572
2012-08-22,178.3186
2012-08-29,178.6794
2012-09-05,178.7008
2012-09-12,179.2424
2012-09-19,179.5766
2012-09-26,179.9897
2012-10-03,179.792
2012-10-10,180.8473
2012-10-17,181.427
2012-10-24,181.1594
2012-10-31,180.3429
2012-11-07,179.6772
2012-11-14,179.324
2012-11-21,180.1226
2012-11-28,181.0012
2012-12-05,181.6547
2012-12-12,182.609
2012-12-19,182.9324
2012-12-26,183.5672
2013-01-02,183.8311
2013-01-09,183.9398
2013-01-16,184.2075
2013-01-23,183.7482
2013-01-30,182.7636
2013-02-06,181.9537
2013-02-13,182.5085
2013-02-20,181.5743
2013-02-27,181.6257
2013-03-06,179.9065
2013-03-13,180.6709
2013-03-20,180.892
2013-03-27,181.0686
2013-04-03,181.3776
2013-04-10,181.8935
2013-04-17,180.9041
2013-04-24,178.7513
2013-05-01,177.6004
2013-05-08,179.5842
2013-05-15,180.1923
2013-05-22,176.9966
2013-05-29,175.3664
2013-06-05,172.9736
2013-06-12,172.2491
2013-06-19,171.6432
2013-06-26,169.2546
2013-07-03,169.4209
2013-07-10,169.844
2013-07-17,171.2885
2013-07-24,169.4933
2013-07-31,169.2059
2013-08-07,169.2714
2013-08-14,169.3406
2013-08-21,168.4494
2013-08-28,168.8714
2013-09-04,169.2126
2013-09-11,171.4566
2013-09-18,172.8591
2013-09-25,172.3026
2013-10-02,171.5116
2013-10-09,170.9144
2013-10-16,172.8743
2013-10-23,172.7285
2013-10-30,173.291
2013-11-06,171.4721
2013-11-13,170.9944
2013-11-20,171.0639
2013-11-27,171.1546
2013-12-04,171.301
2013-12-11,172.2322
2013-12-18,172.88
2013-12-25,172.8934
2014-01-01,172.2592
2014-01-08,172.1077
2014-01-15,172.0871
2014-01-22,172.2054
2014-01-29,171.5718
2014-02-05,171.6607
2014-02-12,172.5143
2014-02-19,173.0675
2014-02-26,173.2478
2014-03-05,173.9326
2014-03-12,173.7124
2014-03-19,173.5583
2014-03-26,173.7841
2014-04-02,174.0315
2014-04-09,175.342
2014-04-16,176.7434
2014-04-23,175.9823
2014-04-30,174.8424
2014-05-07,175.5308
2014-05-14,176.7239
2014-05-21,176.416
2014-05-28,177.8385
2014-06-04,176.8933
2014-06-11,176.2064
2014-06-18,176.305
2014-06-25,176.1072
2014-07-02,177.1557
2014-07-09,178.003
2014-07-16,177.7235
2014-07-23,177.8236
2014-07-30,177.78
2014-08-06,176.6626
2014-08-13,177.7498
2014-08-20,175.8054
2014-08-27,174.7225
2014-09-03,174.477
2014-09-10,174.5194
2014-09-17,174.3303
2014-09-24,173.8383
2014-10-01,172.656
2014-10-08,172.0197
2014-10-15,172.1112
2014-10-22,172.2365
2014-10-29,171.8619
2014-11-05,171.3146
2014-11-12,171.1045
2014-11-19,171.7199
2014-11-26,172.6912
2014-12-03,170.9012
2014-12-10,169.98
2014-12-17,170.7801
2014-12-24,169.7278
2014-12-31,169.6934
2015-01-07,169.2675
2015-01-14,169.0906
2015-01-21,168.6233
2015-01-28,167.3325
2015-02-04,165.9936
2015-02-11,164.8992
2015-02-18,164.9484
2015-02-25,164.7766
2015-03-04,164.9064
2015-03-11,164.9934
2015-03-18,165.3692
2015-03-25,166.3692
2015-04-01,165.4957
2015-04-08,165.3584
2015-04-15,164.4673
2015-04-22,164.3417
2015-04-29,165.0334
2015-05-06,163.6579
2015-05-13,163.7933
2015-05-20,163.8791
2015-05-27,164.0126
2015-06-03,164.3801
2015-06-10,164.3447
2015-06-17,164.0712
2015-06-24,163.7881
2015-07-01,163.6728
2015-07-08,163.5684
2015-07-15,163.8743
2015-07-22,163.5667
2015-07-29,163.9194
2015-08-05,163.1956
2015-08-12,162.3376
2015-08-19,160.9881
2015-08-26,158.985
2015-09-02,161.9789
2015-09-09,163.8811
2015-09-16,165.5604
2015-09-23,164.6532
2015-09-30,164.4913
2015-10-07,165.1882
2015-10-14,164.657
2015-10-21,163.8122
2015-10-28,162.8954
2015-11-04,162.3363
2015-11-11,161.6987
2015-11-18,159.6797
2015-11-25,158.8742
2015-12-02,159.4473
2015-12-09,159.4388
2015-12-16,159.8269
2015-12-23,158.804
2015-12-30,158.3229
2016-01-06,158.1874
2016-01-13,157.7976
2016-01-20,157.1687
2016-01-27,156.4511
2016-02-03,155.4771
2016-02-10,154.8994
2016-02-17,155.2029
2016-02-24,154.2357
2016-03-02,155.9745
2016-03-09,158.4425
2016-03-16,161.4735
2016-03-23,161.5789
2016-03-30,162.3061
2016-04-06,161.5507
2016-04-13,167.4766
2016-04-20,169.0668
2016-04-27,166.9734
2016-05-04,164.9087
2016-05-11,165.1179
2016-05-18,165.4292
2016-05-25,164.9653
2016-06-01,163.7724
2016-06-08,167.3883
2016-06-15,166.8128
2016-06-22,168.2318
2016-06-29,167.5465
2016-07-06,168.6938
2016-07-13,168.9351
2016-07-20,167.2721
2016-07-27,165.5548
2016-08-03,165.7865
2016-08-10,168.0183
2016-08-17,167.9429
2016-08-24,165.9821
2016-08-31,164.1697
2016-09-07,165.6893
2016-09-14,164.3523
2016-09-21,165.7065
2016-09-28,165.6042
2016-10-05,164.2973
2016-10-12,164.496
2016-10-19,165.5515
2016-10-26,166.3221
2016-11-02,165.4684
2016-11-09,166.2285
2016-11-16,164.9377
2016-11-23,164.1727
2016-11-30,164.836
2016-12-07,165.4648
2016-12-14,166.3697
2016-12-21,166.3406
2016-12-28,168.2938
2017-01-04,166.9683
2017-01-11,167.2815
2017-01-18,169.5223
2017-01-25,171.9411
2017-02-01,173.3694
2017-02-08,172.711
2017-02-15,174.9608
2017-02-22,175.1188
2017-03-01,174.4858
2017-03-08,172.6543
2017-03-15,174.8225
2017-03-22,175.6394
2017-03-29,175.8468
2017-04-05,175.733
2017-04-12,175.4459
2017-04-19,176.0856
2017-04-26,175.9538
2017-05-03,176.0544
2017-05-10,173.8449
2017-05-17,174.9286
2017-05-24,175.4398
2017-05-31,175.3888
2017-06-07,175.4707
2017-06-14,175.6365
2017-06-21,175.6045
2017-06-28,177.1348
2017-07-05,176.6582
2017-07-12,177.1022
2017-07-19,177.7527
2017-07-26,177.685
2017-08-02,178.0927
2017-08-09,177.748
2017-08-16,178.2631
2017-08-23,178.6039
2017-08-30,178.6151
2017-09-06,178.9325
2017-09-13,178.8388
2017-09-20,178.3805
2017-09-27,177.1651
2017-10-04,177.9334
2017-10-11,177.9871
2017-10-18,179.3491
2017-10-25,179.5609
2017-11-01,178.7601
2017-11-08,179.0708
2017-11-15,178.5919
2017-11-22,179.7866
2017-11-29,179.9829
2017-12-06,180.0709
2017-12-13,180.1986
2017-12-20,178.3706
2017-12-27,179.9427
2018-01-03,181.2904
2018-01-10,181.1062
2018-01-17,181.7634
2018-01-24,181.7387
2018-01-31,181.6492
2018-02-07,179.7594
2018-02-14,179.2154
2018-02-21,179.8988
2018-02-28,179.0453
2018-03-07,179.7865
2018-03-14,179.8224
2018-03-21,180.0339
2018-03-28,181.2598
2018-04-04,181.5809
2018-04-11,181.1387
2018-04-18,182.1067
2018-04-25,181.1013
2018-05-02,179.3097
2018-05-09,177.949
2018-05-16,179.6954
2018-05-23,179.6605
2018-05-30,179.406
2018-06-06,179.886
2018-06-13,179.3311
2018-06-20,179.0946
2018-06-27,179.4056
2018-07-04,178.4669
2018-07-11,179.16
2018-07-18,179.7523
2018-07-25,179.4656
2018-08-01,179.7698
2018-08-08,179.8842
2018-08-15,177.309
2018-08-22,179.1173
2018-08-29,178.7332
2018-09-05,177.4552
2018-09-12,176.9235
2018-09-19,178.4339
2018-09-26,178.5337
2018-10-03,177.5346
2018-10-10,177.2487
2018-10-17,177.0568
2018-10-24,176.7611
2018-10-31,175.2856
2018-11-07,175.8408
2018-11-14,174.6674
2018-11-21,175.2375
2018-11-28,175.445
2018-12-05,175.269
2018-12-12,176.3027
2018-12-19,176.6846
2018-12-26,175.6577
2019-01-02,175.9298
2019-01-09,177.504
2019-01-16,177.9448
