,US0003M Index
2019-11-20,1.8987500000000002
2019-11-27,1.9137499999999998
2019-12-04,1.88713
2019-12-11,1.8873799999999998
2019-12-18,1.908
2019-12-25,1.9605000000000001
2020-01-01,1.90838
2020-01-08,1.834
2020-01-15,1.83613
2020-01-22,1.80088
2020-01-29,1.77713
2020-02-05,1.74163
2020-02-12,1.7037499999999999
2020-02-19,1.696
2020-02-26,1.6132499999999999
2020-03-04,1.00063
2020-03-11,0.7725
2020-03-18,1.11575
2020-03-25,1.267
2020-04-01,1.4365
2020-04-08,1.31138
2020-04-15,1.1348799999999999
2020-04-22,1.02025
2020-04-29,0.68663
2020-05-06,0.44763
2020-05-13,0.39238
2020-05-20,0.358
2020-05-27,0.3625
2020-06-03,0.32663
2020-06-10,0.31838
2020-06-17,0.31625
2020-06-24,0.28375
2020-07-01,0.2985
2020-07-08,0.27288
2020-07-15,0.27288
2020-07-22,0.2635
2020-07-29,0.26063
2020-08-05,0.242
2020-08-12,0.26475
2020-08-19,0.24688
2020-08-26,0.25588
2020-09-02,0.25125
2020-09-09,0.25025
2020-09-16,0.23325
2020-09-23,0.225
