,PENUSD Curncy
2020-05-13,0.290892
2020-05-20,0.293677
2020-05-27,0.289696
2020-06-03,0.294972
2020-06-10,0.291036
2020-06-17,0.286193
2020-06-24,0.283407
2020-07-01,0.283338
2020-07-08,0.282646
2020-07-15,0.285763
2020-07-22,0.285368
2020-07-29,0.285343
2020-08-05,0.281849
2020-08-12,0.280163
2020-08-19,0.28093
2020-08-26,0.279162
2020-09-02,0.28315
2020-09-09,0.283018
2020-09-16,0.282127
2020-09-23,0.281698
